rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
47.5,48.0,2599341,67000,-1000,-0.015,-0.016,BCM - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,BCM - Audited Financial Statement Quarter 2/2025
50.6,44.0,2599382,67900,-1100,-0.016,-0.026,BCM - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-27,2025-08-27,1753-01-01,1753-01-01,BCM - Audited Financial Statement Quarter 2/2025 (holding company)
55.7,40.0,2598195,70000,-200,-0.003,0.034,BCM - Holds a shareholders circular ballot,BALLOT,2025-08-18,1753-01-01,2025-08-28,2025-08-27,"Investment and Industrial Development Joint Stock Corporation (BCM) holds a shareholders circular ballot: Ex-date: August 27, 2025 Record date: August 28, 2025 Meeting time: In September 2025 Venue: Level 9, WTC tower, 1 Hung Vuong, Binh Duong Ward, Ho Chi Minh City, Vietnam;"
57.3,48.0,2596195,69000,900,0.013,0.075,BCM - Financial Statement Quarter 2/2025,KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 2/2025
57.3,48.0,2596197,69000,900,0.013,0.075,BCM - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 2/2025 (holding company)
44.4,22.0,2593099,59500,300,0.005,-0.037,BCM - Holds a shareholders circular ballot,BALLOT,2025-06-13,1753-01-01,2025-06-19,2025-06-18,"Investment and Industrial Development Joint Stock Corporation (BCM) holds a shareholders circular ballot: Ex-date: June 18, 2025 Record date: June 19, 2025 Meeting time: In July 2025 Venue: Level 9, WTC Tower, 1 Hung Vuong, Hoa Phu Ward, Thu Dau Mot City, Binh Duong Province, Vietnam; "
34.6,42.0,2590357,55700,-100,-0.002,-0.282,BCM - Financial Statement Quarter 1/2025,KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 1/2025
34.6,42.0,2590360,55700,-100,-0.002,-0.282,BCM - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 1/2025 (holding company)
45.4,54.0,2588017,70400,-5200,-0.069,-0.069,BCM - Audited Financial Statement Quarter 4/2024,KQQY,2025-04-03,2025-04-03,1753-01-01,1753-01-01,BCM - Audited Financial Statement Quarter 4/2024
46.4,58.0,2585953,75600,-300,-0.004,0.0,BCM - Holds 2025 AGM,AGME,2025-04-02,2025-05-15,2025-04-14,2025-04-11,"Investment and Industrial Development Joint Stock Corporation (BCM) holds 2025 AGM Ex-date: April 11, 2025 Record date: April 14, 2025 Meeting time: May 15, 2025 8:30 AM Venue: Becamex Hotel - New City of Binh Duong Province;. "
46.4,58.0,2587858,75600,-300,-0.004,0.0,BCM - Audited Financial Statement FY 2024,KQCT,2025-04-02,2025-04-02,1753-01-01,1753-01-01,BCM - Audited Financial Statement FY 2024
46.4,58.0,2588105,75600,-300,-0.004,0.0,BCM - Audited Financial Statement FY 2024 (holding company),KQCT,2025-04-02,2025-04-02,1753-01-01,1753-01-01,BCM - Audited Financial Statement FY 2024 (holding company)
42.6,48.0,2580710,69300,1300,0.019,0.021,BCM - Financial Statement Quarter 4/2024,KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 4/2024
42.6,48.0,2580750,69300,1300,0.019,0.021,BCM - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,BCM - Financial Statement Quarter 4/2024 (holding company)
32.2,39.0,2575925,65503,-985,-0.015,-0.07,BCM - Holds a shareholders circular ballot,BALLOT,2024-10-21,1753-01-01,2024-11-05,2024-11-04,"Investment and Industrial Development Joint Stock Corporation (BCM) holds a shareholders circular ballot: Ex-date: November 4, 2024 Record date: November 5, 2024 Meeting time: in November 2024, tentative Venue: Level 9 WTC tower, 1 Hung Vuong, Hoa Phu Ward, Thu Dau Mot City, Binh Duong Province, Vietnam; "
