rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
41.3,24.0,2599361,,,,,PLX - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-30,2025-08-30,1753-01-01,1753-01-01,PLX - Audited Financial Statement Quarter 2/2025 (holding company)
41.7,28.0,2599347,36100.0,-50.0,-0.001,-0.011,PLX - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,PLX - Audited Financial Statement Quarter 2/2025
41.1,19.0,2596486,36250.0,-50.0,-0.001,-0.027,PLX - Financial Statement Quarter 2/2025,KQQY,2025-07-31,2025-07-31,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 2/2025
41.1,19.0,2596520,36250.0,-50.0,-0.001,-0.027,PLX - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-31,2025-07-31,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 2/2025 (holding company)
56.0,44.0,2593086,34930.0,48.0,0.001,0.073,PLX - Pay cash dividend 2024 - Year at VND 1200/share,DIV,2025-06-05,2025-06-24,2025-06-11,2025-06-10,"Vietnam National Petroleum Group (PLX) pays cash dividend 2024-Year: Ex-date: June 10, 2025 Record date: June 11, 2025 Payment date: June 24, 2025 Payment rate: 12%/parvalue (VND 1200/shares). "
39.4,36.0,2590937,,,,,PLX - Financial Statement Quarter 1/2025,KQQY,2025-05-02,2025-05-02,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 1/2025
39.4,36.0,2590979,,,,,PLX - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-05-02,2025-05-02,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 1/2025 (holding company)
37.9,55.0,2587996,36188.0,-2710.0,-0.07,-0.154,PLX - Audited Financial Statement FY 2024,KQCT,2025-04-03,2025-04-03,1753-01-01,1753-01-01,PLX - Audited Financial Statement FY 2024
37.9,55.0,2587998,36188.0,-2710.0,-0.07,-0.154,PLX - Audited Financial Statement Quarter 4/2024,KQQY,2025-04-03,2025-04-03,1753-01-01,1753-01-01,PLX - Audited Financial Statement Quarter 4/2024
37.9,55.0,2588015,36188.0,-2710.0,-0.07,-0.154,PLX - Audited Financial Statement Quarter 4/2024 (holding company),KQQY,2025-04-03,2025-04-03,1753-01-01,1753-01-01,PLX - Audited Financial Statement Quarter 4/2024 (holding company)
28.5,36.0,2588014,38994.0,725.0,0.019,-0.088,PLX - Audited Financial Statement FY 2024 (holding company),KQCT,2025-04-01,2025-04-01,1753-01-01,1753-01-01,PLX - Audited Financial Statement FY 2024 (holding company)
42.1,41.0,2581962,40349.0,242.0,0.006,-0.021,PLX - Holds 2025 AGM,AGME,2025-03-18,2025-04-25,2025-03-31,2025-03-28,"Vietnam National Petroleum Group (PLX) holds 2025 AGM Ex-date: March 28, 2025 Record date: March 31, 2025 Meeting time: April 25, 2025, tentative Venue: Office of Vietnam National Petroleum Group, VCCI tower, No. 9 Dao Duy Anh, Phuong Mai Ward, Dong Da District, Hanoi City, Vietnam;. "
68.3,73.0,2584588,40639.0,629.0,0.016,0.08,PLX - Holds 2025 extra-ordinary shareholders meeting,EGME,2025-02-13,2025-03-28,2025-03-03,2025-02-28,"Vietnam National Petroleum Group (PLX) holds 2025 extra-ordinary shareholders meeting: Ex-date: February 28, 2025 Record date: March 3, 2025 Meeting time: March 28, 2025 Venue: Vietnam National Petroleum Group, VCCI building, 9 Dao Duy Anh, Phuong Mai Ward, Dong Da District, Ha Noi City, Vietnam;. "
53.8,44.0,2580834,38220.0,-97.0,-0.003,0.027,PLX - Financial Statement Quarter 4/2024,KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 4/2024
53.8,44.0,2582468,38220.0,-97.0,-0.003,0.027,PLX - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,PLX - Financial Statement Quarter 4/2024 (holding company)
