rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
70.7,62.0,2598038,41000.0,-1150.0,-0.027,0.076,BID - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-15,2025-08-15,1753-01-01,1753-01-01,BID - Audited Financial Statement Quarter 2/2025
70.7,62.0,2598043,41000.0,-1150.0,-0.027,0.076,BID - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-15,2025-08-15,1753-01-01,1753-01-01,BID - Audited Financial Statement Quarter 2/2025 (holding company)
46.8,35.0,2596465,38100.0,700.0,0.019,0.05,BID - Financial Statement Quarter 2/2025,KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,BID - Financial Statement Quarter 2/2025
46.8,35.0,2596491,38100.0,700.0,0.019,0.05,BID - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,BID - Financial Statement Quarter 2/2025 (holding company)
48.5,32.0,2591951,37450.0,1650.0,0.046,0.012,"BID- Lists additional 123,846,649 shares",AIS,2025-05-14,2025-05-07,1753-01-01,1753-01-01,"Joint Stock Commercial Bank for Investment and Development of Vietnam (BID) lists additional shares: Number of additional shares: 123,846,649 shares Total number of listed shares: 7,021,361,917 shares Effective Date: May 7, 2025 Official trading date: March 2, 2026. "
37.5,26.0,2590307,34550.0,-450.0,-0.013,-0.116,BID - Financial Statement Quarter 1/2025,KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,BID - Financial Statement Quarter 1/2025
37.5,26.0,2590355,34550.0,-450.0,-0.013,-0.116,BID - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,BID - Financial Statement Quarter 1/2025 (holding company)
35.9,33.0,2586667,,,,,BID - Audited Financial Statement FY 2024,KQCT,2025-03-29,2025-03-29,1753-01-01,1753-01-01,BID - Audited Financial Statement FY 2024
35.9,33.0,2586670,,,,,BID - Audited Financial Statement Quarter 4/2024,KQQY,2025-03-29,2025-03-29,1753-01-01,1753-01-01,BID - Audited Financial Statement Quarter 4/2024
35.9,33.0,2586676,,,,,BID - Audited Financial Statement FY 2024 (holding company),KQCT,2025-03-29,2025-03-29,1753-01-01,1753-01-01,BID - Audited Financial Statement FY 2024 (holding company)
35.9,33.0,2586679,,,,,BID - Audited Financial Statement Quarter 4/2024 (holding company),KQQY,2025-03-29,2025-03-29,1753-01-01,1753-01-01,BID - Audited Financial Statement Quarter 4/2024 (holding company)
61.9,49.0,2582490,40900.0,0.0,0.0,0.028,BID - Holds 2025 AGM,AGME,2025-02-21,2025-04-26,2025-03-10,2025-03-07,"Joint Stock Commercial Bank for Investment and Development of Vietnam (BID) holds 2025 AGM Ex-date: March 7, 2025 Record date: March 10, 2025 Meeting time: April 26, 2025 8:00 AM Venue: BIDV Training and Research Institute, No. 773 Hong Ha Street, Chuong Duong Ward, Hoan Kiem District, Hanoi;. "
57.9,49.0,2580861,40000.0,100.0,0.003,0.05,BID - Financial Statement Quarter 4/2024,KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,BID - Financial Statement Quarter 4/2024
57.9,49.0,2581025,40000.0,100.0,0.003,0.05,BID - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,BID - Financial Statement Quarter 4/2024 (holding company)
54.7,47.0,2579651,39500.0,100.0,0.003,0.026,"BID- Lists additional 1,197,079,368 shares",AIS,2025-01-17,2025-01-20,1753-01-01,1753-01-01,"Joint Stock Commercial Bank for Investment and Development of Vietnam (BID) lists additional shares: Number of additional shares: 1,197,079,368 shares Total number of listed shares: 6,897,515,268 shares Effective Date: January 20, 2025 Official trading date: January 24, 2025. "
